@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
118,'2024/11/04 18:09:31:732',3,0.4875,0.235417,0.504687,0.2125,0.5125,0.214583,0.521875,0.216667,0.476563,0.214583,0.465625,0.214583,0.454688,0.216667,0.535937,0.245833,0.442187,0.241667,0.504687,0.28125,0.471875,0.275,0.5875,0.520833,0.34375,0.414583,0.753125,0.735417,0.242188,0.220833,0.767187,0.683333,0.376563,0.220833,0.771875,0.695833,0.407813,0.225,0.759375,0.652083,0.415625,0.241667,0.74375,0.658333,0.409375,0.252083,0.507813,0.95,0.351563,0.925,0.484375,1.383333,0.320313,1.358333,0.446875,1.754167,0.285937,1.714583,0.453125,1.8125,0.275,1.758333,0.420312,1.854167,0.301562,1.84375,0.339184,0.339592
119,'2024/11/04 18:09:31:775',3,0.4875,0.235417,0.504687,0.2125,0.514063,0.214583,0.521875,0.216667,0.476563,0.214583,0.467187,0.214583,0.45625,0.216667,0.535937,0.245833,0.442187,0.241667,0.504687,0.28125,0.471875,0.275,0.5875,0.51875,0.34375,0.4125,0.75,0.735417,0.240625,0.222917,0.771875,0.6875,0.375,0.21875,0.78125,0.695833,0.407813,0.222917,0.76875,0.65625,0.415625,0.239583,0.753125,0.664583,0.409375,0.247917,0.507813,0.95,0.351563,0.925,0.482812,1.379167,0.320313,1.354167,0.446875,1.75,0.285937,1.710417,0.453125,1.80625,0.275,1.754167,0.420312,1.852083,0.303125,1.841667,0.339184,0.339592
120,'2024/11/04 18:09:31:815',3,0.4875,0.235417,0.504687,0.2125,0.514063,0.214583,0.521875,0.216667,0.478125,0.214583,0.467187,0.214583,0.45625,0.216667,0.5375,0.245833,0.442187,0.241667,0.504687,0.28125,0.471875,0.275,0.589063,0.520833,0.34375,0.416667,0.759375,0.74375,0.240625,0.220833,0.796875,0.6875,0.376563,0.216667,0.80625,0.689583,0.407813,0.222917,0.7875,0.652083,0.417188,0.239583,0.770312,0.6625,0.409375,0.247917,0.507813,0.954167,0.351563,0.929167,0.482812,1.395833,0.320313,1.36875,0.446875,1.766667,0.285937,1.722917,0.453125,1.822917,0.275,1.764583,0.420312,1.870833,0.303125,1.85625,0.339184,0.339592
121,'2024/11/04 18:09:31:856',3,0.4875,0.235417,0.504687,0.2125,0.514063,0.214583,0.521875,0.216667,0.478125,0.214583,0.467187,0.214583,0.457812,0.216667,0.5375,0.247917,0.442187,0.241667,0.504687,0.28125,0.471875,0.275,0.589063,0.520833,0.340625,0.416667,0.753125,0.741667,0.240625,0.21875,0.795313,0.6875,0.375,0.21875,0.804688,0.6875,0.407813,0.222917,0.7875,0.654167,0.417188,0.239583,0.770312,0.6625,0.409375,0.247917,0.507813,0.960417,0.351563,0.933333,0.484375,1.395833,0.320313,1.36875,0.45,1.766667,0.289063,1.722917,0.454688,1.822917,0.278125,1.766667,0.425,1.870833,0.30625,1.858333,0.339184,0.339592
122,'2024/11/04 18:09:31:898',3,0.4875,0.2375,0.504687,0.214583,0.514063,0.214583,0.521875,0.216667,0.478125,0.214583,0.46875,0.214583,0.457812,0.216667,0.5375,0.247917,0.44375,0.241667,0.504687,0.28125,0.471875,0.275,0.589063,0.520833,0.340625,0.414583,0.75,0.741667,0.240625,0.21875,0.7875,0.720833,0.376563,0.214583,0.80625,0.697917,0.410937,0.222917,0.790625,0.66875,0.41875,0.239583,0.773438,0.675,0.410937,0.247917,0.507813,0.960417,0.351563,0.933333,0.48125,1.389583,0.317187,1.3625,0.44375,1.758333,0.282813,1.716667,0.446875,1.816667,0.270312,1.758333,0.41875,1.864583,0.301562,1.85,0.339184,0.339592
123,'2024/11/04 18:09:31:937',3,0.4875,0.2375,0.50625,0.214583,0.514063,0.214583,0.521875,0.216667,0.478125,0.214583,0.46875,0.214583,0.457812,0.216667,0.5375,0.245833,0.44375,0.241667,0.504687,0.28125,0.471875,0.275,0.589063,0.520833,0.340625,0.414583,0.75,0.741667,0.240625,0.220833,0.7875,0.714583,0.376563,0.214583,0.803125,0.697917,0.409375,0.222917,0.7875,0.66875,0.41875,0.239583,0.770312,0.675,0.410937,0.247917,0.507813,0.964583,0.35,0.933333,0.482812,1.391667,0.317187,1.364583,0.446875,1.758333,0.284375,1.716667,0.451562,1.816667,0.273438,1.758333,0.423438,1.864583,0.304688,1.85,0.339184,0.339592
124,'2024/11/04 18:09:31:979',3,0.489062,0.2375,0.50625,0.214583,0.514063,0.214583,0.521875,0.216667,0.478125,0.214583,0.46875,0.216667,0.457812,0.216667,0.5375,0.247917,0.44375,0.241667,0.504687,0.28125,0.471875,0.275,0.589063,0.520833,0.340625,0.41875,0.75,0.739583,0.240625,0.220833,0.789063,0.691667,0.378125,0.214583,0.804688,0.685417,0.4125,0.225,0.7875,0.658333,0.420312,0.239583,0.770312,0.664583,0.4125,0.247917,0.507813,0.966667,0.35,0.935417,0.484375,1.391667,0.31875,1.364583,0.45,1.758333,0.289063,1.716667,0.454688,1.816667,0.276563,1.760417,0.428125,1.866667,0.3125,1.85,0.339184,0.339592
125,'2024/11/04 18:09:32:020',3,0.489062,0.2375,0.50625,0.214583,0.514063,0.216667,0.521875,0.216667,0.478125,0.214583,0.46875,0.216667,0.457812,0.21875,0.5375,0.247917,0.44375,0.24375,0.50625,0.28125,0.471875,0.275,0.589063,0.520833,0.340625,0.420833,0.753125,0.739583,0.240625,0.220833,0.775,0.685417,0.378125,0.214583,0.778125,0.68125,0.4125,0.225,0.760938,0.65,0.420312,0.239583,0.746875,0.65625,0.4125,0.247917,0.507813,0.966667,0.351563,0.939583,0.484375,1.391667,0.31875,1.366667,0.45,1.760417,0.289063,1.716667,0.454688,1.816667,0.276563,1.760417,0.426562,1.866667,0.310937,1.85,0.339184,0.339592
126,'2024/11/04 18:09:32:060',3,0.489062,0.2375,0.50625,0.214583,0.514063,0.216667,0.521875,0.21875,0.478125,0.214583,0.46875,0.216667,0.457812,0.21875,0.5375,0.247917,0.44375,0.24375,0.50625,0.28125,0.471875,0.277083,0.589063,0.520833,0.340625,0.420833,0.751562,0.739583,0.240625,0.220833,0.790625,0.729167,0.375,0.214583,0.835938,0.704167,0.409375,0.225,0.821875,0.675,0.41875,0.239583,0.803125,0.68125,0.410937,0.247917,0.507813,0.964583,0.351563,0.939583,0.482812,1.391667,0.315625,1.364583,0.44375,1.760417,0.282813,1.716667,0.446875,1.816667,0.270312,1.758333,0.420312,1.866667,0.303125,1.85,0.339184,0.339592
127,'2024/11/04 18:09:32:101',3,0.489062,0.239583,0.50625,0.214583,0.514063,0.216667,0.521875,0.21875,0.478125,0.216667,0.46875,0.21875,0.457812,0.220833,0.5375,0.247917,0.44375,0.245833,0.50625,0.28125,0.473437,0.277083,0.589063,0.520833,0.340625,0.41875,0.75,0.7375,0.242188,0.220833,0.785937,0.733333,0.375,0.214583,0.815625,0.710417,0.409375,0.225,0.821875,0.672917,0.41875,0.239583,0.801562,0.68125,0.410937,0.247917,0.507813,0.966667,0.35,0.939583,0.48125,1.389583,0.314063,1.364583,0.44375,1.758333,0.28125,1.716667,0.446875,1.816667,0.26875,1.758333,0.417188,1.864583,0.3,1.85,0.339184,0.339592
