@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
126,'2024/11/09 12:20:07:404',5,0.253125,0.116667,0.259375,0.104167,0.264062,0.104167,0.267188,0.104167,0.246875,0.10625,0.24375,0.108333,0.240625,0.108333,0.275,0.116667,0.239063,0.120833,0.2625,0.133333,0.248437,0.135417,0.315625,0.210417,0.2125,0.216667,0.364062,0.279167,0.170312,0.2875,0.41875,0.297917,0.114063,0.33125,0.439063,0.30625,0.09375,0.35,0.435937,0.3,0.09375,0.345833,0.429688,0.297917,0.101563,0.339583,0.279687,0.4125,0.221875,0.408333,0.271875,0.55,0.173438,0.53125,0.267188,0.689583,0.198437,0.66875,0.267188,0.704167,0.2125,0.691667,0.25625,0.727083,0.157813,0.716667,0.882011,0.655227,0.26654,0.480518,0.82405
127,'2024/11/09 12:20:07:450',5,0.254687,0.116667,0.260938,0.104167,0.264062,0.104167,0.26875,0.104167,0.248437,0.10625,0.245312,0.10625,0.242188,0.108333,0.276563,0.116667,0.240625,0.120833,0.264062,0.133333,0.25,0.135417,0.315625,0.210417,0.2125,0.216667,0.364062,0.279167,0.171875,0.289583,0.417188,0.297917,0.114063,0.33125,0.4375,0.295833,0.092188,0.352083,0.435937,0.289583,0.09375,0.347917,0.429688,0.289583,0.101563,0.341667,0.279687,0.4125,0.221875,0.408333,0.271875,0.552083,0.16875,0.53125,0.267188,0.689583,0.1875,0.670833,0.267188,0.704167,0.198437,0.691667,0.257813,0.727083,0.145313,0.716667,0.882011,0.655227,0.26654,0.480518,0.82405
128,'2024/11/09 12:20:07:493',5,0.25625,0.116667,0.2625,0.104167,0.265625,0.104167,0.270312,0.104167,0.251563,0.10625,0.246875,0.10625,0.24375,0.108333,0.276563,0.116667,0.240625,0.120833,0.265625,0.133333,0.251563,0.133333,0.315625,0.210417,0.2125,0.214583,0.364062,0.28125,0.171875,0.289583,0.415625,0.295833,0.114063,0.333333,0.435937,0.289583,0.09375,0.352083,0.434375,0.283333,0.09375,0.347917,0.426562,0.285417,0.101563,0.34375,0.279687,0.414583,0.220313,0.408333,0.271875,0.554167,0.167187,0.527083,0.265625,0.689583,0.171875,0.670833,0.26875,0.704167,0.184375,0.691667,0.257813,0.727083,0.134375,0.716667,0.882011,0.655227,0.26654,0.480518,0.82405
129,'2024/11/09 12:20:07:535',5,0.259375,0.114583,0.264062,0.104167,0.267188,0.104167,0.271875,0.104167,0.251563,0.104167,0.248437,0.10625,0.245312,0.10625,0.276563,0.116667,0.240625,0.11875,0.267188,0.133333,0.253125,0.133333,0.314063,0.2125,0.210938,0.210417,0.357812,0.285417,0.16875,0.2875,0.407813,0.289583,0.114063,0.335417,0.43125,0.28125,0.09375,0.35625,0.432813,0.270833,0.09375,0.354167,0.421875,0.275,0.103125,0.347917,0.273438,0.416667,0.214062,0.408333,0.270312,0.558333,0.165625,0.535417,0.265625,0.689583,0.134375,0.672917,0.264062,0.70625,0.1375,0.69375,0.257813,0.727083,0.1125,0.7125,0.882011,0.655227,0.26654,0.480518,0.82405
130,'2024/11/09 12:20:07:577',5,0.257813,0.114583,0.264062,0.104167,0.267188,0.104167,0.270312,0.104167,0.251563,0.104167,0.248437,0.104167,0.24375,0.10625,0.276563,0.116667,0.240625,0.11875,0.267188,0.133333,0.251563,0.133333,0.3125,0.2125,0.20625,0.208333,0.354688,0.2875,0.1625,0.2875,0.404687,0.289583,0.114063,0.3375,0.428125,0.279167,0.09375,0.360417,0.428125,0.270833,0.095312,0.360417,0.41875,0.275,0.103125,0.354167,0.270312,0.416667,0.210938,0.408333,0.267188,0.5625,0.165625,0.539583,0.2625,0.691667,0.129688,0.679167,0.260938,0.710417,0.129688,0.704167,0.25625,0.729167,0.103125,0.7125,0.882011,0.655227,0.26654,0.480518,0.82405
131,'2024/11/09 12:20:07:618',5,0.257813,0.114583,0.264062,0.102083,0.267188,0.104167,0.270312,0.104167,0.251563,0.104167,0.248437,0.104167,0.24375,0.104167,0.276563,0.116667,0.240625,0.116667,0.265625,0.133333,0.251563,0.133333,0.309375,0.2125,0.2,0.20625,0.351563,0.289583,0.153125,0.283333,0.401563,0.291667,0.1125,0.3375,0.425,0.28125,0.09375,0.3625,0.425,0.270833,0.096875,0.3625,0.414063,0.275,0.103125,0.35625,0.267188,0.416667,0.20625,0.40625,0.265625,0.5625,0.165625,0.539583,0.2625,0.691667,0.128125,0.68125,0.259375,0.710417,0.129688,0.702083,0.25625,0.729167,0.103125,0.710417,0.882011,0.655227,0.26654,0.480518,0.82405
132,'2024/11/09 12:20:07:664',5,0.25625,0.1125,0.2625,0.102083,0.265625,0.104167,0.270312,0.104167,0.25,0.102083,0.246875,0.102083,0.24375,0.102083,0.275,0.116667,0.239063,0.114583,0.264062,0.133333,0.248437,0.13125,0.30625,0.214583,0.195313,0.204167,0.346875,0.291667,0.146875,0.279167,0.396875,0.291667,0.109375,0.3375,0.421875,0.283333,0.09375,0.3625,0.421875,0.275,0.096875,0.3625,0.410937,0.277083,0.103125,0.35625,0.264062,0.416667,0.203125,0.40625,0.264062,0.560417,0.164063,0.539583,0.2625,0.691667,0.128125,0.68125,0.260938,0.710417,0.13125,0.702083,0.25625,0.729167,0.101563,0.710417,0.882011,0.655227,0.26654,0.480518,0.82405
133,'2024/11/09 12:20:07:706',5,0.253125,0.1125,0.259375,0.102083,0.264062,0.102083,0.267188,0.104167,0.248437,0.102083,0.245312,0.102083,0.240625,0.102083,0.271875,0.116667,0.2375,0.114583,0.260938,0.13125,0.245312,0.13125,0.303125,0.214583,0.190625,0.202083,0.34375,0.29375,0.139062,0.26875,0.395312,0.29375,0.104687,0.335417,0.41875,0.2875,0.092188,0.360417,0.41875,0.277083,0.096875,0.3625,0.409375,0.28125,0.104687,0.354167,0.2625,0.414583,0.2,0.40625,0.2625,0.558333,0.1625,0.539583,0.2625,0.691667,0.128125,0.68125,0.2625,0.710417,0.129688,0.704167,0.25625,0.729167,0.101563,0.710417,0.882011,0.655227,0.26654,0.480518,0.82405
134,'2024/11/09 12:20:07:748',5,0.25,0.1125,0.25625,0.102083,0.260938,0.102083,0.264062,0.104167,0.245312,0.1,0.240625,0.1,0.2375,0.1,0.26875,0.116667,0.234375,0.1125,0.257813,0.13125,0.242188,0.13125,0.3,0.216667,0.185937,0.197917,0.342187,0.295833,0.13125,0.258333,0.39375,0.295833,0.1,0.33125,0.41875,0.289583,0.089062,0.360417,0.417188,0.28125,0.096875,0.360417,0.409375,0.283333,0.103125,0.354167,0.259375,0.414583,0.195313,0.404167,0.260938,0.558333,0.159375,0.541667,0.2625,0.689583,0.129688,0.683333,0.264062,0.708333,0.132813,0.708333,0.25625,0.729167,0.10625,0.714583,0.882011,0.655227,0.26654,0.480518,0.82405
135,'2024/11/09 12:20:07:789',5,0.25,0.110417,0.25625,0.102083,0.259375,0.102083,0.264062,0.104167,0.24375,0.1,0.240625,0.1,0.235938,0.1,0.267188,0.116667,0.23125,0.1125,0.25625,0.13125,0.240625,0.129167,0.296875,0.216667,0.18125,0.195833,0.339063,0.297917,0.123438,0.254167,0.39375,0.297917,0.09375,0.329167,0.417188,0.291667,0.084375,0.358333,0.417188,0.283333,0.09375,0.360417,0.409375,0.285417,0.1,0.352083,0.257813,0.414583,0.19375,0.404167,0.259375,0.55625,0.157813,0.541667,0.2625,0.689583,0.13125,0.685417,0.264062,0.708333,0.134375,0.710417,0.25625,0.729167,0.109375,0.720833,0.882011,0.655227,0.26654,0.480518,0.82405
