@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2024/11/10 10:49:42:664',1,0.704687,0.30625,0.710938,0.29375,0.714063,0.29375,0.717188,0.29375,0.7,0.295833,0.696875,0.295833,0.69375,0.295833,0.721875,0.302083,0.692187,0.302083,0.7125,0.31875,0.7,0.316667,0.746875,0.354167,0.66875,0.360417,0.757813,0.25625,0.653125,0.275,0.75,0.158333,0.667188,0.172917,0.748438,0.13125,0.667188,0.15,0.740625,0.129167,0.671875,0.147917,0.739062,0.139583,0.675,0.15625,0.739062,0.558333,0.682813,0.560417,0.742188,0.710417,0.690625,0.708333,0.7375,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.854167,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
2,'2024/11/10 10:49:42:708',1,0.70625,0.30625,0.710938,0.29375,0.714063,0.29375,0.717188,0.29375,0.7,0.295833,0.696875,0.295833,0.69375,0.295833,0.721875,0.302083,0.692187,0.302083,0.7125,0.31875,0.7,0.316667,0.746875,0.354167,0.66875,0.360417,0.757813,0.25625,0.653125,0.275,0.75,0.158333,0.667188,0.172917,0.748438,0.13125,0.667188,0.15,0.740625,0.129167,0.671875,0.147917,0.739062,0.139583,0.675,0.15625,0.739062,0.560417,0.682813,0.560417,0.742188,0.710417,0.690625,0.708333,0.7375,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.854167,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
3,'2024/11/10 10:49:42:748',1,0.70625,0.30625,0.710938,0.29375,0.714063,0.29375,0.717188,0.29375,0.701563,0.295833,0.696875,0.295833,0.695313,0.295833,0.721875,0.302083,0.692187,0.302083,0.7125,0.31875,0.7,0.316667,0.746875,0.354167,0.66875,0.360417,0.757813,0.25625,0.653125,0.277083,0.75,0.158333,0.667188,0.172917,0.748438,0.13125,0.667188,0.15,0.742188,0.129167,0.671875,0.147917,0.739062,0.139583,0.675,0.15625,0.739062,0.560417,0.682813,0.560417,0.742188,0.710417,0.690625,0.708333,0.7375,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.854167,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
4,'2024/11/10 10:49:42:793',1,0.70625,0.30625,0.710938,0.29375,0.714063,0.29375,0.717188,0.29375,0.701563,0.295833,0.698438,0.295833,0.695313,0.295833,0.721875,0.302083,0.692187,0.302083,0.7125,0.31875,0.7,0.316667,0.746875,0.354167,0.66875,0.360417,0.757813,0.25625,0.653125,0.277083,0.75,0.158333,0.667188,0.172917,0.748438,0.13125,0.667188,0.15,0.742188,0.129167,0.671875,0.147917,0.739062,0.139583,0.675,0.15625,0.739062,0.560417,0.682813,0.560417,0.74375,0.710417,0.690625,0.708333,0.7375,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.854167,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
5,'2024/11/10 10:49:42:847',1,0.70625,0.30625,0.710938,0.29375,0.714063,0.29375,0.717188,0.29375,0.701563,0.295833,0.698438,0.295833,0.695313,0.295833,0.723437,0.302083,0.692187,0.302083,0.7125,0.31875,0.7,0.316667,0.746875,0.354167,0.66875,0.360417,0.757813,0.25625,0.654688,0.277083,0.75,0.160417,0.667188,0.172917,0.748438,0.13125,0.667188,0.15,0.742188,0.129167,0.671875,0.147917,0.739062,0.139583,0.675,0.15625,0.739062,0.560417,0.682813,0.560417,0.74375,0.710417,0.690625,0.708333,0.7375,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.854167,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
6,'2024/11/10 10:49:42:893',1,0.70625,0.30625,0.710938,0.29375,0.714063,0.29375,0.717188,0.29375,0.701563,0.295833,0.698438,0.295833,0.695313,0.295833,0.723437,0.302083,0.692187,0.302083,0.714063,0.31875,0.7,0.316667,0.746875,0.354167,0.66875,0.360417,0.75625,0.25625,0.654688,0.277083,0.75,0.160417,0.667188,0.175,0.748438,0.133333,0.667188,0.15,0.742188,0.129167,0.671875,0.147917,0.739062,0.139583,0.675,0.15625,0.739062,0.560417,0.682813,0.560417,0.74375,0.710417,0.690625,0.708333,0.735937,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.854167,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
7,'2024/11/10 10:49:42:934',1,0.70625,0.30625,0.710938,0.29375,0.714063,0.29375,0.71875,0.29375,0.701563,0.295833,0.698438,0.295833,0.695313,0.295833,0.723437,0.302083,0.692187,0.302083,0.714063,0.31875,0.701563,0.316667,0.746875,0.354167,0.66875,0.360417,0.75625,0.25625,0.654688,0.277083,0.75,0.160417,0.667188,0.175,0.748438,0.133333,0.667188,0.15,0.742188,0.129167,0.671875,0.147917,0.739062,0.139583,0.675,0.15625,0.739062,0.560417,0.682813,0.560417,0.74375,0.710417,0.690625,0.708333,0.735937,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.854167,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
8,'2024/11/10 10:49:42:976',1,0.70625,0.30625,0.710938,0.29375,0.714063,0.29375,0.71875,0.29375,0.701563,0.295833,0.698438,0.295833,0.695313,0.295833,0.723437,0.302083,0.692187,0.302083,0.714063,0.31875,0.701563,0.316667,0.746875,0.354167,0.66875,0.360417,0.75625,0.25625,0.654688,0.277083,0.75,0.160417,0.667188,0.175,0.748438,0.133333,0.667188,0.15,0.742188,0.129167,0.671875,0.147917,0.739062,0.139583,0.675,0.15625,0.739062,0.560417,0.682813,0.560417,0.74375,0.710417,0.690625,0.708333,0.735937,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.85625,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
9,'2024/11/10 10:49:43:017',1,0.70625,0.30625,0.710938,0.29375,0.715625,0.29375,0.71875,0.29375,0.701563,0.295833,0.698438,0.295833,0.695313,0.295833,0.723437,0.302083,0.692187,0.302083,0.714063,0.31875,0.701563,0.316667,0.746875,0.354167,0.670313,0.360417,0.75625,0.25625,0.654688,0.277083,0.75,0.160417,0.667188,0.175,0.748438,0.133333,0.667188,0.15,0.742188,0.13125,0.671875,0.147917,0.739062,0.139583,0.675,0.15625,0.739062,0.560417,0.684375,0.560417,0.74375,0.710417,0.690625,0.710417,0.735937,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.85625,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
10,'2024/11/10 10:49:43:059',1,0.70625,0.30625,0.710938,0.29375,0.715625,0.29375,0.71875,0.29375,0.701563,0.295833,0.698438,0.295833,0.695313,0.295833,0.723437,0.302083,0.692187,0.302083,0.714063,0.31875,0.701563,0.316667,0.746875,0.354167,0.670313,0.360417,0.75625,0.25625,0.654688,0.277083,0.75,0.160417,0.667188,0.175,0.748438,0.133333,0.667188,0.15,0.742188,0.13125,0.671875,0.147917,0.739062,0.139583,0.675,0.15625,0.739062,0.560417,0.684375,0.560417,0.74375,0.710417,0.690625,0.710417,0.735937,0.845833,0.698438,0.841667,0.732813,0.858333,0.701563,0.85625,0.742188,0.9,0.696875,0.89375,0.82,0.85823,0.86,0.86
